ID,Q1,Q3,RT,Start,End,sub_start,sub_end,sub_half_window,add_half_window
DS01,407.3,407.3,1.83,1.78,1.88,0.05,0.05,1.68,1.98
DS02,391.32,391.32,2.38,2.33,2.43,0.05,0.05,2.23,2.53
DS03,391.31,391.31,2.47,2.43,2.53,0.04,0.06,2.32,2.62
DS04,464.3,74,1.53,1.46,1.6,0.07,0.07,1.38,1.68
DS05,448.32,74.02,1.87,1.81,1.93,0.06,0.06,1.72,2.02
DS06,448.31,74.01,1.96,1.93,2.02,0.03,0.06,1.81,2.11
DS07,432.3,74,2.54,2.49,2.6,0.05,0.06,2.39,2.69
DS08,448.33,74.03,1.54,1.51,1.58,0.03,0.04,1.39,1.69
DS09,514.3,80,1.35,1.31,1.41,0.04,0.06,1.2,1.5
DS10,391.33,391.33,1.89,1.84,1.93,0.05,0.04,1.74,2.04
DS11,391.3,391.3,2.04,1.98,2.14,0.06,0.1,1.89,2.19
NB01,411.3,411.3,1.82,1.78,1.91,0.04,0.09,1.67,1.97
NB02,395.32,395.32,2.38,2.32,2.42,0.06,0.04,2.23,2.53
NB03,395.31,395.31,2.46,2.42,2.58,0.04,0.12,2.31,2.61
NB04,468.3,74,1.53,1.49,1.61,0.04,0.08,1.38,1.68
NB05,452.32,74.02,1.87,1.81,1.92,0.06,0.05,1.72,2.02
NB06,452.31,74.01,1.95,1.92,2,0.03,0.05,1.8,2.1
NB07,436.3,74,2.53,2.47,2.66,0.06,0.13,2.38,2.68
NB08,452.33,74.03,1.54,1.49,1.58,0.05,0.04,1.39,1.69
NB09,518.3,80,1.35,1.31,1.44,0.04,0.09,1.2,1.5
NB10,395.33,395.33,1.88,1.83,1.95,0.05,0.07,1.73,2.03
SP01,167.6,131.9,1.35,1.31,1.4,0.04,0.05,1.2,1.5
SP02,364.1,188.8,1.49,1.44,1.61,0.05,0.12,1.34,1.64
SP03,307,229,1.98,1.92,2.06,0.06,0.08,1.83,2.13
SP04,240,196,2.65,2.61,2.71,0.04,0.06,2.5,2.8
SP05,422.8,250.8,3.06,3.01,3.12,0.05,0.06,2.91,3.21
X001,173.12,127.113,1.27,1.25,1.33,0.02,0.06,1.12,1.42
X002,193.09,79.96,1.31,1.27,1.38,0.04,0.07,1.16,1.46
X004,239.09,151.11,1.59,1.54,1.67,0.05,0.08,1.44,1.74
X006,263.1,145.06,0.584,0.367,0.761,0.217,0.177,0.434,0.734
X010,299.26,225.2,3.42,3.4,3.46,0.02,0.04,3.27,3.57
X011,311.22,223.17,2.06,2.02,2.1,0.04,0.04,1.91,2.21
X012,313.12,245.14,1.28,1.25,1.36,0.03,0.08,1.13,1.43
X013,313.24,99.08,3.46,3.43,3.52,0.03,0.06,3.31,3.61
X016,319.23,257.23,3.06,3,3.09,0.06,0.03,2.91,3.21
X017,329.23,171.103,1.53,1.45,1.58,0.08,0.05,1.38,1.68
X019,343.23,281.23,2.07,2.03,2.11,0.04,0.04,1.92,2.22
X020,353.21,177.092,3.23,3.17,3.34,0.06,0.11,3.08,3.38
X022,355.23,179.11,3,2.95,3.08,0.05,0.08,2.85,3.15
X023,367.16,96.96,1.45,1.39,1.58,0.06,0.13,1.3,1.6
X024,369.17,96.96,1.31,1.25,1.41,0.06,0.1,1.16,1.46
X029,398.18,150,3.17,3.12,3.23,0.05,0.06,3.02,3.32
X032,403.16,99.93,3.49,3.43,3.62,0.06,0.13,3.34,3.64
X036,425.2,96.96,1.77,1.7,1.78,0.07,0.01,1.62,1.92
X042,452.28,255.23,3.01,2.96,3.11,0.05,0.1,2.86,3.16
X043,453.23,96.96,2.01,1.92,2.1,0.09,0.09,1.86,2.16
X051,504.31,307.26,3.17,3.13,3.3,0.04,0.13,3.02,3.32
X055,526.32,241.22,2.8,2.75,3.04,0.05,0.24,2.65,2.95
X066,592.36,307.26,3.18,3.06,3.37,0.12,0.19,3.03,3.33
X068,624.34,448.3,1.52,1.44,1.61,0.08,0.09,1.37,1.67
X070,646.43,364.17,3.69,3.65,3.75,0.04,0.06,3.54,3.84
X081,329.2,171.1,2.73,2.69,2.78,0.04,0.05,2.58,2.88
X082,353.21,177.092,1.52,1.5,1.59,0.02,0.07,1.37,1.67
X278,325.08,223.13,2.07,2.02,2.1,0.05,0.03,1.92,2.22
X279,432.1,314.12,1.72,1.66,1.83,0.06,0.11,1.57,1.87
X280,447.31,169.09,3.28,3.27,3.31,0.01,0.03,3.13,3.43
X281,447.31,169.09,3.35,3.31,3.41,0.04,0.06,3.2,3.5
X283,462.14,311.13,2.56,2.49,2.65,0.07,0.09,2.41,2.71
X284,475.11,150,3.27,3.2,3.34,0.07,0.07,3.12,3.42
X285,512.33,452.32,2.51,2.44,2.61,0.07,0.1,2.36,2.66
X286,512.33,452.32,2.4,2.31,2.44,0.09,0.04,2.25,2.55
X287,531.17,150,3.5,3.46,3.57,0.04,0.07,3.35,3.65
X288,694.01,162.84,3.56,3.54,3.57,0.02,0.01,3.41,3.71
X289,536.29,251.2,2.37,2.32,2.4,0.05,0.03,2.22,2.52
X292,187,79.96,0.728,0.666,0.996,0.062,0.268,0.578,0.878
X293,204.06,130.07,0.966,0.872,1.05,0.094,0.084,0.816,1.116
X314,637.16,253.072,2.01,1.98,2.06,0.03,0.05,1.86,2.16
X315,368.17,150.002,3.28,3.23,3.37,0.05,0.09,3.13,3.43
X316,355.23,163.113,3,2.92,3.08,0.08,0.08,2.85,3.15
